a 0,0767013061528791
b 0,0178513346587338
c 0,0187768612861257
d 0,0380279065007967
e 0,118616789948397
f 0,0152839804405982
g 0,024744360957212
h 0,0533717309632055
i 0,0685067865861681
j 0,00240609513646264
k 0,0121533614980923
l 0,0492333569663923
m 0,030930222784218
n 0,0704766142353853
o 0,0916029244083208
p 0,0122611721022702
q 0,00082639569049951
r 0,0495293793032877
s 0,0536270959112372
t 0,0828040259037818
u 0,0359822459689798
v 0,0114379741839285
w 0,0274327736927507
x 0,00055869647843057
y 0,0360818337304662
z 0,000774774511380414
