a 0,0826378868290886
b 0,0153898643207334
c 0,0249392022116609
d 0,0469408426474995
e 0,122015266379209
f 0,0211212767508938
g 0,0217424281537539
h 0,0655200293383593
i 0,0680147479546448
j 0,00143444989777881
k 0,0090354375657678
l 0,0411761637540326
m 0,0252558989423394
n 0,0682739602367295
o 0,075925246797238
p 0,0168865890378221
q 0,000876371709347983
r 0,0567392798156665
s 0,0615541346488046
t 0,0898223783764795
u 0,0293516659046429
v 0,00937794907197213
w 0,0242121303896328
x 0,00138814298085608
y 0,0196583507605246
z 0,000710305524521642
